r_106 TRUE politics [5, 0, 0, 0, 25, 21, 3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 10, 2, 5, 0, 4]
r_115 TRUE politics [7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_116 TRUE politics [10, 10, 6, 1, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r_2009 TRUE politics [798, 197, 114, 74, 61, 58, 38, 34, 22, 13, 5, 6, 6, 11, 13, 16, 25, 12, 15, 14, 23, 8, 8, 11]
r_2012 TRUE politics [527, 327, 165, 103, 89, 41, 63, 28, 22, 18, 99, 32, 11, 10, 20, 10, 3, 3, 5, 7, 5, 10, 6, 4]
r_2014 TRUE politics [1334, 134, 48, 24, 19, 7, 7, 5, 6, 10, 10, 16, 10, 8, 16, 20, 11, 5, 4, 0, 3, 8, 4, 0]
r_2016 TRUE politics [434, 290, 177, 96, 97, 95, 65, 56, 42, 22, 45, 21, 9, 23, 6, 8, 9, 3, 3, 2, 1, 2, 2, 8]
r_2017 TRUE politics [122, 60, 26, 62, 61, 13, 33, 18, 21, 13, 12, 63, 10, 7, 7, 0, 4, 0, 1, 2, 0, 1, 0, 4]
r_2019 TRUE politics [392, 107, 60, 34, 27, 16, 9, 21, 58, 120, 90, 61, 40, 29, 16, 13, 3, 7, 6, 3, 2, 3, 3, 28]
r_2020 TRUE politics [480, 128, 72, 46, 39, 18, 19, 31, 54, 43, 44, 27, 34, 24, 33, 15, 19, 16, 14, 21, 7, 7, 5, 7]
r_2021 TRUE politics [184, 39, 21, 18, 40, 64, 12, 15, 8, 31, 4, 5, 92, 55, 43, 23, 26, 7, 4, 5, 0, 1, 5, 3]
r_2024 TRUE politics [178, 77, 39, 83, 25, 12, 17, 126, 46, 15, 12, 19, 9, 224, 86, 36, 12, 12, 6, 1, 0, 4, 6, 5]
r_2025 TRUE politics [452, 122, 76, 78, 61, 53, 38, 47, 32, 26, 17, 13, 19, 6, 8, 9, 2, 3, 4, 7, 16, 12, 11, 7]
r_2026 TRUE politics [278, 181, 132, 142, 110, 55, 24, 18, 10, 16, 15, 11, 7, 5, 5, 15, 23, 12, 13, 8, 5, 7, 7, 3]
r_2027 TRUE politics [25, 39, 62, 62, 119, 88, 69, 44, 72, 90, 78, 28, 27, 10, 9, 2, 8, 6, 13, 20, 20, 25, 15, 15]
